id	x	y	diameter	stem	mother	density	density2
JV0853	263612.11	4044162.81	12	3	1	2	Low
JV0854	263613.44	4044165.6	9.9	1	0	0	No Fruits
JV0852	263613.34	4044166.48	9.3	1	0	0	No Fruits
JV0851	263622.93	4044166.66	19.6	1	0	0	No Fruits
JV0855	263625.47	4044168.43	8.7	1	0	0	No Fruits
JV0624	263635.84	4044167.12	18.3	2	1	2	Low
JV0622	263647.76	4044154.82	10.8	1	0	0	No Fruits
JV0619	263649.85	4044151.53	12.6	1	0	0	No Fruits
JV0620	263654.32	4044148.25	6.2	1	0	0	No Fruits
JV0621	263654.08	4044146.92	9.7	1	0	0	No Fruits
JV0618	263670.11	4044138.74	9.4	1	0	0	No Fruits
JV0617	263674.92	4044138.11	9.4	3	0	0	No Fruits
JV0616	263678.68	4044138.41	3	1	0	0	No Fruits
JV0615	263679.42	4044135.86	6.3	2	0	0	No Fruits
JV0614	263683.09	4044133.1	6.2	1	0	0	No Fruits
JV0613	263752.61	4044081.74	8	1	0	0	No Fruits
JV0612	263755.73	4044082.54	9.3	1	1	2	Low
JV0611	263760.43	4044083.14	10.3	1	0	0	No Fruits
JV0610	263762.37	4044068.27	5.7	1	0	0	No Fruits
JV0609	263762.87	4044067.41	8	1	0	0	No Fruits
JV0608	263768.12	4044066.95	4.3	1	0	0	No Fruits
JV0607	263768.34	4044063.56	8.2	4	1	4	High
JV0604	263773.59	4044063.57	32	1	0	0	No Fruits
JV0606	263772.12	4044060.92	11.7	1	0	0	No Fruits
JV0605	263773.22	4044060.76	10.8	1	1	4	High
JV0603	263777.92	4044062.46	11.1	1	0	0	No Fruits
JV0602	263783.13	4044056.63	10.3	1	0	0	No Fruits
JV0601	263786.77	4044054.67	14	1	0	0	No Fruits
JV0800	263787.93	4044051.96	6.5	1	0	0	No Fruits
JV0799	263791.85	4044047.45	9.4	1	0	0	No Fruits
JV0798	263792.29	4044047.02	14.5	1	0	0	No Fruits
JV0797	263794.26	4044041.33	20.6	1	0	0	No Fruits
JV0796	263798.06	4044044.04	13	2	0	0	No Fruits
JV0793	263802.62	4044042.62	10.5	2	0	0	No Fruits
JV0792	263803.95	4044043.38	14.5	1	0	0	No Fruits
JV0791	263806.28	4044026.05	20.1	2	0	0	No Fruits
JV0788	263808.97	4044019.97	10.5	1	0	0	No Fruits
JV0789	263808.93	4044019.77	15.3	1	0	0	No Fruits
JV0787	263811.2	4044013.67	16.3	1	1	2	Low
JV0786	263811.82	4043987.67	27	1	1	2	Low
