id	x	y	diameter	stem	mother	density	density2
4S0238	266918.4	4046752.6	27.1	2	1	2	Low
4S0239	266898.89	4046743.17	17.5	1	0	0	No Fruits
4S0237	266913.26	4046875.08	8.3	1	0	0	No Fruits
4S0236	266847.7	4046841.39	15	1	0	0	No Fruits
4S0235	266839.43	4046835.83	17.5	1	0	0	No Fruits
4S0234	266832.43	4046832.19	7.3	2	0	0	No Fruits
4S0233	266828.53	4046831.17	12.7	2	0	0	No Fruits
4S0232	266821.56	4046826.78	11.5	1	1	2	Low
4S0231	266821.28	4046807.17	9.2	1	0	0	No Fruits
4S0230	266815.73	4046804.41	14	1	0	0	No Fruits
4S0229	266814.85	4046770.19	16.6	1	1	2	Low
4S0228	266810.06	4046768.09	17.8	1	0	0	No Fruits
4S0227	266792.32	4046751.31	18.5	1	0	0	No Fruits
4S0225	266792.47	4046738.67	9.9	1	0	0	No Fruits
4S0226	266791.24	4046738.3	11.5	1	0	0	No Fruits
4S0224	266794.24	4046735.65	15.9	1	0	0	No Fruits
4S0223	266791.34	4046733.2	19.1	1	0	0	No Fruits
4S0222	266792.37	4046725.27	20.7	3	0	0	No Fruits
4S0221	266791	4046724.19	22	1	0	0	No Fruits
4S0220	266790.1	4046721.54	7	1	0	0	No Fruits
4S0219	266789.19	4046718.33	34.4	1	0	0	No Fruits
4S0218	266787.87	4046717.44	16.5	1	0	0	No Fruits
4S0217	266784.14	4046711.99	15	1	0	0	No Fruits
4S0216	266782.73	4046707.33	28.3	1	0	0	No Fruits
4S0215	266779.8	4046704.48	14.6	1	0	0	No Fruits
4S0214	266780.95	4046681.24	15	1	0	0	No Fruits
4S0213	266778.55	4046671.89	12.4	1	0	0	No Fruits
4S0211	266776.37	4046668.5	14	2	1	4	High
4S0210	266776.96	4046655.75	11.5	1	0	0	No Fruits
4S0882	266779.5	4046651.37	14.4	1	0	0	No Fruits
4S0883	266778.52	4046649.98	8.4	1	0	0	No Fruits
4S0884	266780.31	4046648.74	19.1	1	0	0	No Fruits
4S0207	266778.68	4046643.13	15	1	0	0	No Fruits
4S0203	266787.29	4046647.83	15	1	0	0	No Fruits
4S0202	266787.67	4046647.42	15	1	0	0	No Fruits
4S0206	266783.24	4046642.91	15	1	0	0	No Fruits
4S0206bis	266783.24	4046642.91	15	1	0	0	No Fruits
4S0208	266783.77	4046642.31	15	1	0	0	No Fruits
4S0204	266786.02	4046641.51	5.4	1	0	0	No Fruits
4S0205	266788.31	4046644.01	13.7	1	0	0	No Fruits
4S0201	266791.73	4046640.75	10.2	1	0	0	No Fruits
4S0200	266792.34	4046638.02	9.5	1	0	0	No Fruits
4S0199	266792.05	4046637.86	7.6	1	0	0	No Fruits
4S0198	266795.04	4046632.08	11.5	1	0	0	No Fruits
4S0196	266792.25	4046631.32	13.4	1	0	0	No Fruits
4S0881	266793.01	4046627.03	15	1	0	0	No Fruits
4S0195	266787.32	4046626.42	15	1	0	0	No Fruits
4S0194	266788.1	4046623.71	10.8	1	0	0	No Fruits
4S0197	266798.71	4046618.41	13.1	1	1	4	High
4S0193	266791.13	4046615.83	15	1	0	0	No Fruits
4S0192	266792.98	4046613.51	14	1	0	0	No Fruits
4S0191	266812.54	4046604.56	19.1	1	0	0	No Fruits
4S0190	266812.67	4046600.98	15.6	1	0	0	No Fruits
4S0188	266812.86	4046597.88	3.8	1	0	0	No Fruits
4S0187	266810.25	4046595.42	9.9	1	0	0	No Fruits
4S0186	266807.87	4046595.21	15.9	1	0	0	No Fruits
4S0184	266806.63	4046588.24	9.2	1	0	0	No Fruits
4S0189	266812.48	4046592.81	19.4	1	1	4	High
4S0182	266782.42	4046566.66	20.4	1	0	0	No Fruits
4S0185	266807.31	4046587.89	6.1	1	0	0	No Fruits
4S0183	266774.07	4046563.67	13.7	1	0	0	No Fruits
4S0181	266761.64	4046560.67	17.8	1	0	0	No Fruits
4S0180	266760.62	4046552.61	13.4	1	0	0	No Fruits
4S0178	266758.33	4046551.02	13.7	1	0	0	No Fruits
4S0179	266757.94	4046550.09	13.1	1	0	0	No Fruits
4S0879	266756.85	4046567.55	8.3	1	0	0	No Fruits
4S0880	266748.99	4046568.34	15	1	0	0	No Fruits
4S0176	266741.22	4046566.76	23.9	2	0	0	No Fruits
4S0175	266740.89	4046559.94	14.6	1	0	0	No Fruits
4S0169	266725.74	4046528.29	22.3	2	1	2	Low
4S0168	266720.91	4046518.76	21	1	0	0	No Fruits
4S0167	266720.78	4046518.89	22	1	0	0	No Fruits
4S0170	266741.71	4046504.96	7.3	1	0	0	No Fruits
4S0166	266713.26	4046514.8	8	1	0	0	No Fruits
4S0165	266713.96	4046510.48	6.1	1	0	0	No Fruits
4S0164	266709.46	4046511.8	19.4	1	1	4	High
4S0878	266710.11	4046509.36	11	1	0	0	No Fruits
4S0163	266711.94	4046504.52	18.5	2	0	0	No Fruits
4S0162	266716.75	4046495.76	8	1	0	0	No Fruits
4S0160	266708.43	4046489.66	7.6	1	0	0	No Fruits
4S0159	266705.89	4046490.27	13.7	1	0	0	No Fruits
4S0161	266703.14	4046491.43	13.1	1	0	0	No Fruits
4S0877	266702.71	4046489.66	7.9	1	0	0	No Fruits
4S0171	266747.15	4046483.41	8.6	1	0	0	No Fruits
4S0172	266733.68	4046476.97	23.2	1	0	0	No Fruits
4S0173	266725.66	4046476.52	15	1	0	0	No Fruits
4S0174	266720.6	4046478.65	14	1	0	0	No Fruits
4S0158	266722.09	4046455.31	5.7	1	0	0	No Fruits
