id	x	y	diameter	stem	mother	density	density2
Z0557	265215.34	4040585.17	5.2	1	0	0	 No Fruits
Z0558	265242.09	4040608.59	15.1	1	0	0	 No Fruits
Z0559	265246.69	4040608.33	7.5	1	0	0	 No Fruits
Z0356	265406.3	4040668.35	6.5	1	0	0	 No Fruits
Z0357	265407.02	4040668.81	7.5	1	1	2	Low
Z0358	265409.13	4040669.48	7.4	1	0	0	 No Fruits
Z0560	265432.78	4040675.77	10.8	1	0	0	 No Fruits
Z0561	265449.91	4040681.74	13.6	1	0	0	 No Fruits
Z0562	265458.67	4040683.7	9.8	1	0	0	 No Fruits
Z0562mother	265458.67	4040683.7	10	1	1	2	Low
Z0565	265475.05	4040686.91	3.9	1	0	0	 No Fruits
Z0563	265476.5	4040692.19	7.3	1	0	0	 No Fruits
Z0564	265478.95	4040692.44	8.4	1	0	0	 No Fruits
Z0569	265481.67	4040696.43	7.8	1	0	0	 No Fruits
Z0568	265483.83	4040699.74	12.4	1	0	0	 No Fruits
Z0567	265478.77	4040702.79	6.4	1	0	0	 No Fruits
Z0566	265481.05	4040703.29	9.8	1	0	0	 No Fruits
Z0570	265486.17	4040711.15	9.2	1	0	0	 No Fruits
Z0571	265492.02	4040711.29	13.5	1	0	0	 No Fruits
Z0572	265492.04	4040711.68	6	1	0	0	 No Fruits
Z0573	265493.03	4040716.81	11.7	1	0	0	 No Fruits
Z0574	265497.5	4040719.99	10.8	1	0	0	 No Fruits
Z0575	265499.66	4040717.84	9.2	1	0	0	 No Fruits
Z0577	265501.72	4040719.14	6.1	1	0	0	 No Fruits
Z0576	265503.74	4040716.8	8.3	1	0	0	 No Fruits
Z0578	265507.42	4040722.21	9.6	1	0	0	 No Fruits
Z0579	265526.2	4040730.56	13.2	1	0	0	 No Fruits
Z0580	265539.71	4040731.76	4.7	1	0	0	 No Fruits
Z0581	265541.95	4040733.53	7.6	1	0	0	 No Fruits
Z0582	265545.13	4040733.11	8.9	1	0	0	 No Fruits
Z0583	265557.49	4040735.67	17.7	2	0	0	 No Fruits
Z0585	265585.01	4040742.95	12.9	1	0	0	 No Fruits
Z0586	265584.82	4040746.01	8.9	1	0	0	 No Fruits
Z0587	265590.54	4040748.66	11.3	1	0	0	 No Fruits
Z0588	265618.52	4040759.53	9.2	1	0	0	 No Fruits
Z0591	265622.62	4040754.57	6.6	1	0	0	 No Fruits
Z0589	265623.29	4040756.15	7.9	1	0	0	 No Fruits
Z0590	265626.51	4040753.03	7.6	1	0	0	 No Fruits
Z0592	265625.94	4040756.5	9.3	1	0	0	 No Fruits
Z0784	265629.57	4040758.39	8.5	1	0	0	 No Fruits
Z0594	265631.54	4040758.14	7.4	1	0	0	 No Fruits
Z0595	265632.53	4040758.35	8.8	1	0	0	 No Fruits
Z0596	265633.94	4040758.04	8.5	1	0	0	 No Fruits
Z0783	265635.7	4040754.5	11.3	1	0	0	 No Fruits
Z0597	265636.78	4040759.42	5.5	1	0	0	 No Fruits
Z0598	265631.21	4040765.02	9.3	1	1	4	High
Z0599	265637.39	4040762.2	7.4	1	0	0	 No Fruits
Z0600	265638.43	4040762.4	8.4	1	0	0	 No Fruits
Z0301	265639.38	4040762.07	7.5	1	0	0	 No Fruits
Z0862	265637.09	4040767.44	10.9	1	0	0	 No Fruits
Z0861	265640.37	4040769.03	10.3	1	0	0	 No Fruits
Z0302	265648.36	4040760.19	11.5	1	0	0	 No Fruits
Z0303	265653.55	4040766.02	3.3	1	0	0	 No Fruits
Z0307	265655.23	4040767.96	4.4	1	0	0	 No Fruits
Z0306	265656.56	4040768.24	2.5	1	0	0	 No Fruits
Z0305	265658.19	4040767.04	12.8	1	0	0	 No Fruits
Z0304	265658.51	4040768.82	6.1	1	0	0	 No Fruits
Z0311	265661.09	4040768.18	3.6	1	0	0	 No Fruits
Z0308	265664.21	4040768.98	10.5	1	0	0	 No Fruits
Z0310	265663.94	4040770.43	7.1	1	0	0	 No Fruits
Z0309	265664.6	4040770.55	6	1	0	0	 No Fruits
Z0313	265669.94	4040774.48	7.3	1	0	0	 No Fruits
Z0317	265671.28	4040772.84	4.9	1	0	0	 No Fruits
Z0312	265671.53	4040769.75	6.8	1	0	0	 No Fruits
Z0318	265675.37	4040776.33	4.8	1	0	0	 No Fruits
Z0316	265675.04	4040774.63	7.4	1	0	0	 No Fruits
Z0314	265675.95	4040771.75	7.7	1	0	0	 No Fruits
Z0315	265677.4	4040770.53	7	1	0	0	 No Fruits
Z0319	265685.57	4040775.26	9.8	1	0	0	 No Fruits
Z0320	265688.23	4040771.19	10.2	1	0	0	 No Fruits
Z0321	265689.77	4040772.41	14.6	1	0	0	 No Fruits
Z0324	265694.26	4040781.73	5	1	0	0	 No Fruits
Z0322	265693.62	4040784.95	14	1	0	0	 No Fruits
Z0323	265693.68	4040785.6	14.7	1	0	0	 No Fruits
Z0325	265689.25	4040787.37	7.9	1	0	0	 No Fruits
Z0326	265704.13	4040788.13	7.2	2	0	0	 No Fruits
Z0327	265707.14	4040786.79	6.3	1	0	0	 No Fruits
Z0328	265708.58	4040785	6.3	1	0	0	 No Fruits
Z0329	265719.48	4040790.16	10.2	1	0	0	 No Fruits
Z0330	265719.53	4040793.31	15.1	1	0	0	 No Fruits
Z0331	265720.19	4040792.97	7.6	1	0	0	 No Fruits
Z0332	265724.42	4040795.71	10.3	1	0	0	 No Fruits
Z0333	265724.88	4040796.81	10.6	1	0	0	 No Fruits
Z0785	265727.38	4040789.37	13.8	1	0	0	 No Fruits
Z0334	265729.37	4040795.85	17.9	1	0	0	 No Fruits
Z0335	265731.56	4040800.14	17.6	2	0	0	 No Fruits
Z0336	265734.59	4040801.19	4.9	1	0	0	 No Fruits
Z0338	265742.77	4040800.83	16.5	1	0	0	 No Fruits
Z0337	265742.97	4040801.55	10.4	1	0	0	 No Fruits
Z0339	265747.49	4040806	21.5	1	0	0	 No Fruits
Z0340	265749.93	4040806.64	13.4	1	0	0	 No Fruits
Z0343	265759.71	4040801.57	11.9	3	0	0	 No Fruits
Z0341	265762.85	4040807.54	17.7	1	0	0	 No Fruits
Z0342	265773.8	4040790.62	14.9	1	0	0	 No Fruits
Z0344	265776.97	4040788.93	9.8	1	0	0	 No Fruits
Z0349	265786.6	4040805.13	9.8	1	0	0	 No Fruits
Z0359	265794.16	4040809.3	14.3	1	0	0	 No Fruits
Z0348	265790.91	4040800.6	8.7	1	0	0	 No Fruits
Z0347	265793.23	4040799.74	10.4	1	0	0	 No Fruits
Z0346	265793.87	4040795.95	16.9	1	0	0	 No Fruits
Z0345	265790.93	4040794.36	9.5	1	0	0	 No Fruits
Z0350	265793.91	4040792.29	10.8	2	0	0	 No Fruits
Z0353	265796.16	4040792.73	10.9	1	0	0	 No Fruits
Z0352	265797.35	4040799.8	10.7	1	0	0	 No Fruits
Z0351	265798.94	4040798.77	9.2	1	0	0	 No Fruits
Z0354	265799.68	4040798.02	10.3	1	0	0	 No Fruits
Z0355	265799.54	4040796.25	19	1	0	0	 No Fruits
Z0360	265807.85	4040794.15	12	1	0	0	 No Fruits
Z0361	265818.22	4040794.5	17.3	1	0	0	 No Fruits
Z0362	265818.44	4040791.89	14.1	1	0	0	 No Fruits
Z0364	265821.45	4040790.43	13.9	1	0	0	 No Fruits
Z0365	265821.95	4040797.33	9.6	1	0	0	 No Fruits
Z0366	265839.58	4040762.43	13.6	1	0	0	 No Fruits
Z0367	265840.41	4040758.73	13.2	1	0	0	 No Fruits
Z0368	265847.75	4040759.73	9	1	0	0	 No Fruits
Z0369	265893.39	4040731.99	8.3	1	0	0	 No Fruits
Z0370	265955.32	4040711.13	18.3	1	0	0	 No Fruits
Z0371	265959.31	4040714.8	8	1	0	0	 No Fruits
Z0372	265965.1	4040731.41	13.5	1	0	0	 No Fruits
Z0373	265960.61	4040731.22	24.8	1	0	0	 No Fruits
Z0374	265960.72	4040736.19	10.1	1	0	0	 No Fruits
Z0375	265966.77	4040736.97	13.9	1	0	0	 No Fruits
Z0376	265960.5	4040740.84	6.7	1	0	0	 No Fruits
Z0377	265969.52	4040744.93	12	1	1	2	Low
Z0378	265974.97	4040709.9	7.9	1	0	0	 No Fruits
Z0379	265977.59	4040707.38	12.7	1	0	0	 No Fruits
Z0380	265972.88	4040704.39	15.4	3	0	0	 No Fruits
Z0381	265976.36	4040708.16	10.9	1	0	0	 No Fruits
Z0382	265963.94	4040693.59	15.2	1	0	0	 No Fruits
Z0383	266038.53	4040640.48	10.9	1	0	0	 No Fruits
Z0384	266093.08	4040598.55	20.1	1	0	0	 No Fruits
Z0385	266107.22	4040584.36	11.8	1	0	0	 No Fruits
Z0386	266152.95	4040592.19	12.3	1	1	2	Low
Z0387	266154.28	4040588.12	11.5	1	0	0	 No Fruits
Z0388	266163.81	4040568.95	15.2	1	0	0	 No Fruits
Z0389	266180.96	4040577.79	22.6	1	0	0	 No Fruits
Z0390	266220.89	4040566.57	11	1	0	0	 No Fruits
Z0391	266217.49	4040559.03	4.6	1	0	0	 No Fruits
Z0392	266230.83	4040550.53	10.8	1	0	0	 No Fruits
Z0393	266237.38	4040547.59	29.2	1	0	0	 No Fruits
Z0863	266244.78	4040563.16	16.4	1	0	0	 No Fruits
Z0394	266250	4040552.37	10	1	0	0	 No Fruits
Z0395	266267.65	4040557.86	34.6	1	0	0	 No Fruits
Z0396	266267.71	4040555.29	18.8	1	0	0	 No Fruits
Z0398	266272.11	4040550.56	18.3	1	0	0	 No Fruits
