"x"	"y"	"altitude"	"altitude_type"	"id"
"1"	263612.11	4044162.81	570.953002929688	"lower"	"JV0853"
"2"	263613.44	4044165.6	571.088012695312	"lower"	"JV0854"
"3"	263613.34	4044166.48	571.088012695312	"lower"	"JV0852"
"4"	263622.93	4044166.66	571.546997070312	"lower"	"JV0851"
"5"	263625.47	4044168.43	571.606994628906	"lower"	"JV0855"
"6"	263635.84	4044167.12	571.864990234375	"lower"	"JV0624"
"7"	263647.76	4044154.82	572.530029296875	"lower"	"JV0622"
"8"	263649.85	4044151.53	572.481994628906	"lower"	"JV0619"
"9"	263654.32	4044148.25	572.781982421875	"lower"	"JV0620"
"10"	263654.08	4044146.92	572.838012695312	"lower"	"JV0621"
"11"	263670.11	4044138.74	574.453002929688	"lower"	"JV0618"
"12"	263674.92	4044138.11	575.1669921875	"lower"	"JV0617"
"13"	263678.68	4044138.41	575.903015136719	"lower"	"JV0616"
"14"	263679.42	4044135.86	576.093017578125	"lower"	"JV0615"
"15"	263683.09	4044133.1	576.947998046875	"lower"	"JV0614"
"16"	263752.61	4044081.74	593.507995605469	"upper"	"JV0613"
"17"	263755.73	4044082.54	594.023010253906	"upper"	"JV0612"
"18"	263760.43	4044083.14	594.815002441406	"upper"	"JV0611"
"19"	263762.37	4044068.27	593.405029296875	"upper"	"JV0610"
"20"	263762.87	4044067.41	593.572998046875	"upper"	"JV0609"
"21"	263768.12	4044066.95	593.890014648438	"upper"	"JV0608"
"22"	263768.34	4044063.56	593.890014648438	"upper"	"JV0607"
"23"	263773.59	4044063.57	594.296997070312	"upper"	"JV0604"
"24"	263772.12	4044060.92	593.625	"upper"	"JV0606"
"25"	263773.22	4044060.76	593.969970703125	"upper"	"JV0605"
"26"	263777.92	4044062.46	594.328002929688	"upper"	"JV0603"
"27"	263783.13	4044056.63	594.60498046875	"upper"	"JV0602"
"28"	263786.77	4044054.67	594.60498046875	"upper"	"JV0601"
"29"	263787.93	4044051.96	595.034973144531	"upper"	"JV0800"
"30"	263791.85	4044047.45	594.799987792969	"upper"	"JV0799"
"31"	263792.29	4044047.02	594.799987792969	"upper"	"JV0798"
"32"	263794.26	4044041.33	595.22998046875	"upper"	"JV0797"
"33"	263798.06	4044044.04	595.765014648438	"upper"	"JV0796"
"34"	263802.62	4044042.62	596.39697265625	"upper"	"JV0793"
"35"	263803.95	4044043.38	596.39697265625	"upper"	"JV0792"
"36"	263806.28	4044026.05	596.659973144531	"upper"	"JV0791"
"37"	263808.97	4044019.97	597.6669921875	"upper"	"JV0788"
"38"	263808.93	4044019.77	597.6669921875	"upper"	"JV0789"
"39"	263811.2	4044013.67	598.517028808594	"upper"	"JV0787"
"40"	263811.82	4043987.67	601.159973144531	"upper"	"JV0786"
"41"	266918.4	4046752.6	633.392028808594	"lower"	"4S0238"
"42"	266898.89	4046743.17	638.794982910156	"lower"	"4S0239"
"43"	266913.26	4046875.08	658.382995605469	"lower"	"4S0237"
"44"	266847.7	4046841.39	653.799987792969	"lower"	"4S0236"
"45"	266839.43	4046835.83	653.969970703125	"lower"	"4S0235"
"46"	266832.43	4046832.19	655.090026855469	"lower"	"4S0234"
"47"	266828.53	4046831.17	655.090026855469	"lower"	"4S0233"
"48"	266821.56	4046826.78	655.804992675781	"lower"	"4S0232"
"49"	266821.28	4046807.17	654.601989746094	"lower"	"4S0231"
"50"	266815.73	4046804.41	655.789978027344	"lower"	"4S0230"
"51"	266814.85	4046770.19	656.351989746094	"lower"	"4S0229"
"52"	266810.06	4046768.09	657.065002441406	"lower"	"4S0228"
"53"	266792.32	4046751.31	662.617004394531	"lower"	"4S0227"
"54"	266792.47	4046738.67	662.635009765625	"lower"	"4S0225"
"55"	266791.24	4046738.3	662.635009765625	"lower"	"4S0226"
"56"	266794.24	4046735.65	661.1669921875	"lower"	"4S0224"
"57"	266791.34	4046733.2	662.375	"lower"	"4S0223"
"58"	266792.37	4046725.27	662.650024414062	"lower"	"4S0222"
"59"	266791	4046724.19	662.650024414062	"lower"	"4S0221"
"60"	266790.1	4046721.54	662.77001953125	"lower"	"4S0220"
"61"	266789.19	4046718.33	662.77001953125	"lower"	"4S0219"
"62"	266787.87	4046717.44	662.77001953125	"lower"	"4S0218"
"63"	266784.14	4046711.99	663.752990722656	"lower"	"4S0217"
"64"	266782.73	4046707.33	663.755004882812	"lower"	"4S0216"
"65"	266779.8	4046704.48	664.775024414062	"lower"	"4S0215"
"66"	266780.95	4046681.24	665.715026855469	"lower"	"4S0214"
"67"	266778.55	4046671.89	667.140014648438	"lower"	"4S0213"
"68"	266776.37	4046668.5	667.47998046875	"lower"	"4S0211"
"69"	266776.96	4046655.75	670.747009277344	"upper"	"4S0210"
"70"	266779.5	4046651.37	670.68798828125	"upper"	"4S0882"
"71"	266778.52	4046649.98	670.68798828125	"upper"	"4S0883"
"72"	266780.31	4046648.74	670.68798828125	"upper"	"4S0884"
"73"	266778.68	4046643.13	670.950012207031	"upper"	"4S0207"
"74"	266787.29	4046647.83	669.107971191406	"lower"	"4S0203"
"75"	266787.67	4046647.42	668.465026855469	"lower"	"4S0202"
"76"	266783.24	4046642.91	669.794982910156	"upper"	"4S0206"
"77"	266783.24	4046642.91	669.794982910156	"upper"	"4S0206bis"
"78"	266783.77	4046642.31	670.682006835938	"upper"	"4S0208"
"79"	266786.02	4046641.51	670.682006835938	"upper"	"4S0204"
"80"	266788.31	4046644.01	668.465026855469	"lower"	"4S0205"
"81"	266791.73	4046640.75	669.575012207031	"upper"	"4S0201"
"82"	266792.34	4046638.02	669.575012207031	"upper"	"4S0200"
"83"	266792.05	4046637.86	669.575012207031	"upper"	"4S0199"
"84"	266795.04	4046632.08	669.002990722656	"lower"	"4S0198"
"85"	266792.25	4046631.32	670.440002441406	"upper"	"4S0196"
"86"	266793.01	4046627.03	669.111999511719	"lower"	"4S0881"
"87"	266787.32	4046626.42	672.0419921875	"upper"	"4S0195"
"88"	266788.1	4046623.71	670.739990234375	"upper"	"4S0194"
"89"	266798.71	4046618.41	667.911987304688	"lower"	"4S0197"
"90"	266791.13	4046615.83	671.481994628906	"upper"	"4S0193"
"91"	266792.98	4046613.51	670.099975585938	"upper"	"4S0192"
