offspring	mother	father
JV0605F02	JV0605	JV0604
JV0605F03	JV0605	JV0786
JV0605F06	JV0605	JV0613
JV0605F07	JV0605	JV0796
JV0605F08	JV0605	JV0605
JV0605F09	JV0605	JV0796
JV0605F10	JV0605	JV0797
JV0605F11	JV0605	JV0787
JV0605F17	JV0605	JV0606
JV0605F19	JV0605	JV0800
JV0605F20	JV0605	JV0797
JV0605F21	JV0605	JV0601
JV0605F22	JV0605	JV0601
JV0605F23	JV0605	JV0605
JV0605F25	JV0605	JV0797
JV0605F26	JV0605	JV0602
JV0605F30	JV0605	JV0601
JV0607F01	JV0607	JV0786
JV0607F03	JV0607	JV0788
JV0607F04	JV0607	JV0616
JV0607F06	JV0607	JV0800
JV0607F10	JV0607	JV0799
JV0607F11	JV0607	JV0603
JV0607F13	JV0607	JV0605
JV0607F14	JV0607	JV0797
JV0607F15	JV0607	JV0797
JV0607F16	JV0607	JV0608
JV0607F19	JV0607	JV0797
JV0607F20	JV0607	JV0797
JV0607F21	JV0607	JV0792
JV0607F22	JV0607	JV0618
JV0607F23	JV0607	JV0799
JV0607F25	JV0607	JV0622
JV0607F27	JV0607	JV0796
JV0607F29	JV0607	JV0797
JV0607F30	JV0607	JV0799
JV0612F02	JV0612	JV0613
JV0612F03	JV0612	JV0622
JV0612F04	JV0612	JV0613
JV0612F05	JV0612	JV0613
JV0612F07	JV0612	JV0614
JV0612F09	JV0612	JV0613
JV0612F10	JV0612	JV0613
JV0612F11	JV0612	JV0605
JV0612F12	JV0612	JV0602
JV0612F16	JV0612	JV0789
JV0612F17	JV0612	JV0613
JV0612F22	JV0612	JV0855
JV0612F25	JV0612	JV0855
JV0612F27	JV0612	JV0613
JV0612F30	JV0612	JV0612
JV0624F01	JV0624	JV0851
JV0624F02	JV0624	JV0619
JV0624F03	JV0624	JV0851
JV0624F04	JV0624	JV0851
JV0624F05	JV0624	JV0619
JV0624F06	JV0624	JV0621
JV0624F07	JV0624	JV0853
