"","mother","medDispDist","maxDispDist"
"1","4S0164",13.378223,138.6719294
"2","4S0169",14.50289245,207.9439283
"3","4S0189",33.90476395,191.7078259
"4","4S0197",35.4749052,216.4230274
"5","4S0211",47.06783875,187.0265249
"6","4S0229",5.2301147,39.6787626
"7","4S0232",20.030961,272.7726865
"8","4S0238",114.7322701,173.9597025
"9","JV0605",17.1412981,82.6565672
"10","JV0607",34.1470248,151.2214403
"11","JV0612",3.2209315,156.0280734
"12","JV0624",20.9601574,227.2160192
"13","JV0786",26.0073913,260.2246187
"14","JV0787",19.664604,68.5174781
"15","JV0853",3.9655769,214.1778618
"16","S0043",644.9063413,1314.481667
"17","S0073",108.987869,226.4987843
"18","S0075",18.1435967,527.8478033
"19","S0079",24.5690578,938.4181946
"20","S0088",129.8059802,551.678305
"21","S0094",41.5415021,1114.2045649
"22","S0109",29.7774747,497.9736528
"23","S0151",230.86277105,571.8773215
"24","S0157",311.3421631,717.7522408
"25","S0867",172.2733656,532.3539882
"26","S0868",62.3117461,514.4713567
"27","S0870",15.3436143,261.0118541
"28","Z0357",403.3164004,982.8631199
"29","Z0377",8.4216447,740.0966157
"30","Z0386",201.738302,677.7083273
"31","Z0562mother",262.521713,1100.0063728
"32","Z0598",44.87116,750.5086728
"33","Z0762",1.8920095,1326.7098681
"34","Z0765",3.4294023,837.8564193
"35","Z0776",17.0518413,107.8582867
