ID	dbh	stems	fruit.pre
S0038	2,6	1	0,159372164677995
S0039	22,3	1	2753,06445338139
S0040	5,4	1	11,7132963252668
S0041	21,7	1	2469,67898986043
S0042	5,1	1	9,41060850697061
S0043	13,7	1	403,927501107536
S0044	23,2	1	3223,64040049574
S0842	7,4	1	38,428376632988
S0843	20,9	1	2126,95425835917
S0045	18,8	1	1397,77053420298
S0046	14,1	1	451,800286045148
S0844	22,6	1	2903,68819156396
S0846	22,7	1	2955,26057424796
S0848	10,1	1	124,780891514542
S0847	18,4	1	1283,85804420633
S0047	20	1	1785,92895540555
S0048	3,8	1	2,83919807783049
S0049	9,9	1	115,613299910938
S0050	16,2	1	777,545997545647
S0051	15,3	1	621,494419491697
S0052	13,1	1	339,446751949463
S0849	6,7	1	26,4489705883246
S0054	28,3	1	7146,59301414571
S0056	6,1	1	18,5831490714863
S0055	10,8	2	161,240081418839
S0053	4,1	1	3,94113057839812
S0060	9,6	1	102,824492443723
S0059	10,5	1	144,749685766597
S0058	12,1	1	249,655128274512
S0057	11,8	1	226,614294747068
S0062	13,7	1	403,927501107536
S0061	3,5	1	1,93480935921068
S0063	5,1	1	9,41060850697061
S0064	5,4	1	11,7132963252668
S0066	16,5	1	835,643803943893
S0065	17,5	1	1053,36102853642
S0857	15,9	1	722,565682612076
S0858	13,3	1	360,001448140223
S0856	4,9	1	8,06184839227752
S0067	28,9	2	7775,8166522051
S0859	11,8	1	226,614294747068
S0068	31,8	1	11431,2731686928
S0069	12,1	1	249,655128274512
S0070	14	1	439,449311499554
S0860	9,8	1	111,224568980594
S0071	31,5	1	11002,3133603108
S0072	14,3	2	477,290117989484
S0073	11,8	3	226,614294747068
S0074	16,2	3	777,545997545647
S0075	16,2	1	777,545997545647
S0077	8,6	1	67,7356245400306
S000A	18,9	1	1427,40990652539
S000B	21,3	1	2293,45817809059
S0079	15,8	1	704,911504831619
S0076	8,9	1	77,1277129897976
S0078	16,6	1	855,722971894498
S0865	16	2	740,553298668151
S0081	22,3	1	2753,06445338139
S0082	23,2	1	3223,64040049574
S0083	14	1	439,449311499554
S0084	16,9	1	918,162574833858
S0864	14,2	1	464,41263586528
S0085	20,1	1	1821,61329601524
S0148	15,3	1	621,494419491697
S0147	15,6	1	670,586488176342
S0146	10,2	1	129,564931946065
S0145	10,5	1	144,749685766597
S0144	4,5	1	5,76573075858809
S0143	18,5	1	1311,64958265285
S0149	22,9	1	3060,48982347793
S0141	12,1	1	249,655128274512
S0142	15,6	1	670,586488176342
S0140	9,2	1	87,4642285588871
S0139	7,3	1	36,511167924312
S0137	9,2	1	87,4642285588871
S0136	10,2	1	129,564931946065
S0138	8,6	1	67,7356245400306
S0135	10,8	1	161,240081418839
S0087	6,7	1	26,4489705883246
S0088	25,5	2	4704,41796724017
S0133	14,6	1	517,551361207736
S0089	12,1	1	249,655128274512
S0090	4,8	1	7,43949935162829
S0132	15,9	2	722,565682612076
S0131	15,3	1	621,494419491697
S0130	20,4	1	1931,9213824093
S0091	7,3	1	36,511167924312
S0092	11,8	1	226,614294747068
S0867	8,3	1	59,2271823508142
S0866	14,6	1	517,551361207736
S0868	8,8	1	73,8951267451101
S0095	8,3	1	59,2271823508142
S0094	9,5	1	98,808130888769
S0093	14	1	439,449311499554
S0129	3,8	1	2,83919807783049
S0128	4,1	1	3,94113057839812
S0127	2,2	1	-0,289904425231081
S0096	7,3	1	36,511167924312
S0097	8,3	1	59,2271823508142
S0098	7	1	31,18216046456
S0099	4,8	1	7,43949935162829
S0100	8,6	1	67,7356245400306
S0101	3,8	1	2,83919807783049
S0126	14,9	1	560,336819978611
S0102	7,3	1	36,511167924312
S0103	14,6	1	517,551361207736
S0105	8,3	1	59,2271823508142
S0104	18,1	1	1203,15944516738
S0125	22,9	1	3060,48982347793
S0106	21,9	1	2561,55191131652
S0107	13,7	1	403,927501107536
S0124	8,6	1	67,7356245400306
S0123	16,5	1	835,643803943893
S0876	12,3	1	265,971673269092
S0108	8,6	1	67,7356245400306
S0109	13,1	1	339,446751949463
S0110	5,4	1	11,7132963252668
S0122	19,7	1	1682,05391157809
S0111	17,8	2	1126,37096465571
S0869	17,4	1	1029,84166682668
S0119	11,5	1	205,219271506416
S0112	13,4	1	370,625576878773
S0113	6,7	1	26,4489705883246
S0114	10,5	1	144,749685766597
S0871	14,4	1	490,436518283421
S0121	12,4	1	274,426303684663
S0870	13,3	1	360,001448140223
S0120	13,1	1	339,446751949463
S0875	11,5	1	205,219271506416
S0116	16,2	1	777,545997545647
S0115	15,3	1	621,494419491697
S0872	14	1	439,449311499554
S0873	14	1	439,449311499554
S0874	15,5	1	653,907234582588
S0118	10,5	1	144,749685766597
S0117	14,3	1	477,290117989484
S0155	11,1	1	179,110871329435
S0154	5,7	1	14,383815056111
S0153	3,5	1	1,93480935921068
S0152	9,9	1	115,613299910938
S0151	9,5	1	98,808130888769
S0150	24,8	1	4208,28168472612
S0156	5,7	1	14,383815056111
S0157	27,4	1	6276,1897519339
