ID	dbh	stems	fruit.pre
Z0557	5,2	1	10,1395804022389
Z0558	15,1	1	590,31511149577
Z0559	7,5	1	40,4191333519869
Z0356	6,5	1	23,6011025782715
Z0357	7,5	1	40,4191333519869
Z0358	7,4	1	38,428376632988
Z0560	10,8	1	161,240081418839
Z0561	13,6	1	392,585033003926
Z0562	9,8	1	111,224568980594
Z0562mother	10	1	120,131215356318
Z0565	3,9	1	3,18323436446323
Z0563	7,3	1	36,511167924312
Z0564	8,4	1	61,9688093979191
Z0569	7,8	1	46,8518847968718
Z0568	12,4	1	274,426303684663
Z0567	6,4	1	22,2643517329113
Z0566	9,8	1	111,224568980594
Z0570	9,2	1	87,4642285588871
Z0571	13,5	1	381,485586483253
Z0572	6	1	17,4604468519952
Z0573	11,7	1	219,303861406489
Z0574	10,8	1	161,240081418839
Z0575	9,2	1	87,4642285588871
Z0577	6,1	1	18,5831490714863
Z0576	8,3	1	59,2271823508142
Z0578	9,6	1	102,824492443723
Z0579	13,2	1	349,609672801718
Z0580	4,7	1	6,85017170822934
Z0581	7,6	1	42,4853442779025
Z0582	8,9	1	77,1277129897976
Z0583	17,7	2	1101,62090880087
Z0585	12,9	1	319,793620613918
Z0586	8,9	1	77,1277129897976
Z0587	11,3	1	191,829546242917
Z0588	9,2	1	87,4642285588871
Z0591	6,6	1	24,9954180815131
Z0589	7,9	1	49,1561581921238
Z0590	7,6	1	42,4853442779025
Z0592	9,3	1	91,1304253872923
Z0784	8,5	1	64,8042331932374
Z0594	7,4	1	38,428376632988
Z0595	8,8	1	73,8951267451101
Z0596	8,5	1	64,8042331932374
Z0783	11,3	1	191,829546242917
Z0597	5,5	1	12,5607505729611
Z0598	9,3	1	91,1304253872923
Z0599	7,4	1	38,428376632988
Z0600	8,4	1	61,9688093979191
Z0301	7,5	1	40,4191333519869
Z0862	10,9	1	167,039878283575
Z0861	10,3	1	134,485967614181
Z0302	11,5	1	205,219271506416
Z0303	3,3	1	1,42885477920248
Z0307	4,4	1	5,268253942535
Z0306	2,5	1	0,031100139765173
Z0305	12,8	1	310,296554770231
Z0304	6,1	1	18,5831490714863
Z0311	3,6	1	2,21594962528369
Z0308	10,5	1	144,749685766597
Z0310	7,1	1	32,8899006593092
Z0309	6	1	17,4604468519952
Z0313	7,3	1	36,511167924312
Z0317	4,9	1	8,06184839227752
Z0312	6,8	1	27,9634582143893
Z0318	4,8	1	7,43949935162829
Z0316	7,4	1	38,428376632988
Z0314	7,7	1	44,6289418493658
Z0315	7	1	31,18216046456
Z0319	9,8	1	111,224568980594
Z0320	10,2	1	129,564931946065
Z0321	14,6	1	517,551361207736
Z0324	5	1	8,71846210729921
Z0322	14	1	439,449311499554
Z0323	14,7	1	531,527520025411
Z0325	7,9	1	49,1561581921238
Z0326	7,2	2	34,6656272210812
Z0327	6,3	1	20,9835189144388
Z0328	6,3	1	20,9835189144388
Z0329	10,2	1	129,564931946065
Z0330	15,1	1	590,31511149577
Z0331	7,6	1	42,4853442779025
Z0332	10,3	1	134,485967614181
Z0333	10,6	1	150,097767549196
Z0785	13,8	1	415,51660410922
Z0334	17,9	1	1151,54083887801
Z0335	17,6	2	1077,28585794377
Z0336	4,9	1	8,06184839227752
Z0338	16,5	1	835,643803943893
Z0337	10,4	1	139,546656924912
Z0339	21,5	1	2380,33035914373
Z0340	13,4	1	370,625576878773
Z0343	11,9	3	234,107577201631
Z0341	17,7	1	1101,62090880087
Z0342	14,9	1	560,336819978611
Z0344	9,8	1	111,224568980594
Z0349	9,8	1	111,224568980594
Z0359	14,3	1	477,290117989484
Z0348	8,7	1	70,7651809612812
Z0347	10,4	1	139,546656924912
Z0346	16,9	1	918,162574833858
Z0345	9,5	1	98,808130888769
Z0350	10,8	2	161,240081418839
Z0353	10,9	1	167,039878283575
Z0352	10,7	1	155,593643243295
Z0351	9,2	1	87,4642285588871
Z0354	10,3	1	134,485967614181
Z0355	19	1	1457,52401981766
Z0360	12	1	241,786811455892
Z0361	17,3	1	1006,72304883219
Z0362	14,1	1	451,800286045148
Z0364	13,9	1	427,355984004244
Z0365	9,6	1	102,824492443723
Z0366	13,6	1	392,585033003926
Z0367	13,2	1	349,609672801718
Z0368	9	1	80,4652176484184
Z0369	8,3	1	59,2271823508142
Z0370	18,3	1	1256,51583203954
Z0371	8	1	51,5437734969036
Z0372	13,5	1	381,485586483253
Z0373	24,8	1	4208,28168472612
Z0374	10,1	1	124,780891514542
Z0375	13,9	1	427,355984004244
Z0376	6,7	1	26,4489705883246
Z0377	12	1	241,786811455892
Z0378	7,9	1	49,1561581921238
Z0379	12,7	1	301,01463262607
Z0380	15,4	3	637,54458976971
Z0381	10,9	1	167,039878283575
Z0382	15,2	1	605,752618696237
Z0383	10,9	1	167,039878283575
Z0384	20,1	1	1821,61329601524
Z0385	11,8	1	226,614294747068
Z0386	12,3	1	265,971673269092
Z0387	11,5	1	205,219271506416
Z0388	15,2	1	605,752618696237
Z0389	22,6	1	2903,68819156396
Z0390	11	1	172,995857721235
Z0391	4,6	1	6,29264684963285
Z0392	10,8	1	161,240081418839
Z0393	29,2	1	8105,77381637088
Z0863	16,4	1	815,924199151823
Z0394	10	1	120,131215356318
Z0395	34,6	1	16076,0732557202
Z0396	18,8	1	1397,77053420298
Z0398	18,3	1	1256,51583203954
Z0397	29,3	1	8218,0881706678
Z0399	6,7	1	26,4489705883246
Z0400	9	1	80,4652176484184
Z0701	9,1	1	83,9099455730965
Z0702	10,9	1	167,039878283575
Z0703	11,2	1	185,387798457315
Z0704	12,9	1	319,793620613918
Z0705	8	1	51,5437734969036
Z0706	21,5	2	2380,33035914373
Z0707	18	2	1177,13537468506
Z0709	13	1	329,509215189275
Z0708	17,8	2	1126,37096465571
Z0710	10	1	120,131215356318
Z0711	15,1	1	590,31511149577
Z0713	22,4	1	2802,59638891284
Z0712	13,9	1	427,355984004244
Z0715	12,8	2	310,296554770231
Z0714	16,8	1	896,977855785021
Z0717	5,5	1	12,5607505729611
Z0716	11,2	1	185,387798457315
Z0718	9,5	1	98,808130888769
Z0719	9,3	1	91,1304253872923
Z0720	10,2	2	129,564931946065
Z0721	8,2	2	56,5772079225632
Z0722	10,3	1	134,485967614181
Z0731	14,1	1	451,800286045148
Z0730	12,8	1	310,296554770231
Z0723	17,3	1	1006,72304883219
Z0725	8,4	1	61,9688093979191
Z0724	15,1	1	590,31511149577
Z0727	13,3	1	360,001448140223
Z0726	8,4	1	61,9688093979191
Z0728	13,1	1	339,446751949463
Z0729	5,5	1	12,5607505729611
Z0733	9,2	2	87,4642285588871
Z0734	13,3	1	360,001448140223
Z0732	16	1	740,553298668151
Z0735	9,7	2	106,962473689629
Z0736	10,3	1	134,485967614181
Z0737	13,3	2	360,001448140223
Z0738	7,6	3	42,4853442779025
Z0739	10,9	1	167,039878283575
Z0740	18,6	1	1339,89547021731
Z0741	11,9	1	234,107577201631
Z0742	10,9	1	167,039878283575
Z0743	12,1	3	249,655128274512
Z0746	8,6	1	67,7356245400306
Z0748	11,5	2	205,219271506416
Z0747	6	1	17,4604468519952
Z0744	9,5	2	98,808130888769
Z0745	11,4	1	198,439049650301
Z0751	6,5	1	23,6011025782715
Z0749	10,5	1	144,749685766597
Z0750	5,2	1	10,1395804022389
Z0752	7,5	2	40,4191333519869
Z0753	6,5	1	23,6011025782715
Z0754	8,3	2	59,2271823508142
Z0755	6,9	1	29,5406049000798
Z0756	9,9	1	115,613299910938
Z0757	13,3	3	360,001448140223
Z0758	11,5	2	205,219271506416
Z0759	17,2	1	984,000480314211
Z0760	7,3	1	36,511167924312
Z0761	13,6	1	392,585033003926
Z0763	6,1	1	18,5831490714863
Z0762	11,3	2	191,829546242917
Z0764	8	1	51,5437734969036
Z0768	9,1	1	83,9099455730965
Z0767	9,7	1	106,962473689629
Z0765	11,8	9	226,614294747068
Z0769	7,6	3	42,4853442779025
Z0771	11	1	172,995857721235
Z0772	15,2	10	605,752618696237
Z0774	12,5	4	283,082821213072
Z0775	11,6	1	212,173202537707
Z0776	8,1	1	54,01676861148
Z0777	5,1	1	9,41060850697061
Z0781	4,3	1	4,79907136203481
Z0779	5,2	1	10,1395804022389
Z0780	8,6	1	67,7356245400306
Z0782	5,3	1	10,9066954712996
