"","Mother.ID","n.poll"
"1","4S0164",9
"2","4S0169",9
"3","4S0189",11
"4","4S0197",14
"5","4S0211",11
"6","4S0229",3
"7","4S0232",6
"8","4S0238",10
"9","JV0605",12
"10","JV0607",14
"11","JV0612",10
"12","JV0624",10
"13","JV0786",9
"14","JV0787",10
"15","JV0853",6
"16","S0043",9
"17","S0073",10
"18","S0075",7
"19","S0079",10
"20","S0088",12
"21","S0094",9
"22","S0109",7
"23","S0151",12
"24","S0157",13
"25","S0867",12
"26","S0868",10
"27","S0870",7
"28","Z0357",12
"29","Z0377",8
"30","Z0386",10
"31","Z0562mother",17
"32","Z0598",10
"33","Z0762",9
"34","Z0765",5
"35","Z0776",8
