"","offspring","mother","father","SpDist","pop"
"1","JV0605F02","JV0605","JV0604",2.8342548,"JV"
"2","JV0605F03","JV0605","JV0786",82.6565672,"JV"
"3","JV0605F06","JV0605","JV0613",29.4097348,"JV"
"4","JV0605F07","JV0605","JV0796",29.9430125,"JV"
"5","JV0605F08","JV0605","JV0605",0,"JV"
"6","JV0605F09","JV0605","JV0796",29.9430125,"JV"
"7","JV0605F10","JV0605","JV0797",28.6392475,"JV"
"8","JV0605F11","JV0605","JV0787",60.4975082,"JV"
"9","JV0605F17","JV0605","JV0606",1.1115755,"JV"
"10","JV0605F19","JV0605","JV0800",17.1412981,"JV"
"11","JV0605F20","JV0605","JV0797",28.6392475,"JV"
"12","JV0605F21","JV0605","JV0601",14.8556589,"JV"
"13","JV0605F22","JV0605","JV0601",14.8556589,"JV"
"14","JV0605F23","JV0605","JV0605",0,"JV"
"15","JV0605F25","JV0605","JV0797",28.6392475,"JV"
"16","JV0605F26","JV0605","JV0602",10.7361539,"JV"
"17","JV0605F30","JV0605","JV0601",14.8556589,"JV"
"18","JV0607F01","JV0607","JV0786",87.4631494,"JV"
"19","JV0607F03","JV0607","JV0788",59.5893027,"JV"
"20","JV0607F04","JV0607","JV0616",116.7965672,"JV"
"21","JV0607F06","JV0607","JV0800",22.7668202,"JV"
"22","JV0607F10","JV0607","JV0799",28.5000386,"JV"
"23","JV0607F11","JV0607","JV0603",9.6429456,"JV"
"24","JV0607F13","JV0607","JV0605",5.6262243,"JV"
"25","JV0607F14","JV0607","JV0797",34.1470248,"JV"
"26","JV0607F15","JV0607","JV0797",34.1470248,"JV"
"27","JV0607F16","JV0607","JV0608",3.3971311,"JV"
"28","JV0607F19","JV0607","JV0797",34.1470248,"JV"
"29","JV0607F20","JV0607","JV0797",34.1470248,"JV"
"30","JV0607F21","JV0607","JV0792",40.9304837,"JV"
"31","JV0607F22","JV0607","JV0618",123.6978791,"JV"
"32","JV0607F23","JV0607","JV0799",28.5000386,"JV"
"33","JV0607F25","JV0607","JV0622",151.2214403,"JV"
"34","JV0607F27","JV0607","JV0796",35.5571202,"JV"
"35","JV0607F29","JV0607","JV0797",34.1470248,"JV"
"36","JV0607F30","JV0607","JV0799",28.5000386,"JV"
"37","JV0612F02","JV0612","JV0613",3.2209315,"JV"
"38","JV0612F03","JV0612","JV0622",129.9304402,"JV"
"39","JV0612F04","JV0612","JV0613",3.2209315,"JV"
"40","JV0612F05","JV0612","JV0613",3.2209315,"JV"
"41","JV0612F07","JV0612","JV0614",88.5035773,"JV"
"42","JV0612F09","JV0612","JV0613",3.2209315,"JV"
"43","JV0612F10","JV0612","JV0613",3.2209315,"JV"
"44","JV0612F11","JV0612","JV0605",27.9332866,"JV"
"45","JV0612F12","JV0612","JV0602",37.7105834,"JV"
"46","JV0612F16","JV0612","JV0789",82.6639758,"JV"
"47","JV0612F17","JV0612","JV0613",3.2209315,"JV"
"48","JV0612F22","JV0612","JV0855",156.0280734,"JV"
"49","JV0612F25","JV0612","JV0855",156.0280734,"JV"
