mother	father	SpDist
JV0853	JV0853	0.0000000
JV0853	JV0854	3.0907928
JV0853	JV0852	3.9655769
JV0853	JV0851	11.4845505
JV0853	JV0855	14.4939298
JV0853	JV0624	24.1182296
JV0853	JV0622	36.5344030
JV0853	JV0619	39.3896687
JV0853	JV0620	44.6506181
JV0853	JV0621	44.8773105
JV0853	JV0618	62.7962172
JV0853	JV0617	67.4921188
JV0853	JV0616	70.9008103
JV0853	JV0615	72.5047488
JV0853	JV0614	76.9470240
JV0853	JV0613	162.2115745
JV0853	JV0612	164.5295636
JV0853	JV0611	168.3630936
JV0853	JV0610	177.5271224
JV0853	JV0609	178.4089056
JV0853	JV0608	183.1072355
JV0853	JV0607	185.0901818
JV0853	JV0604	189.5372470
JV0853	JV0606	189.6965266
JV0853	JV0605	190.7108665
JV0853	JV0603	193.8119671
JV0853	JV0602	201.3008515
JV0853	JV0601	205.4272991
JV0853	JV0800	207.8470469
JV0853	JV0799	213.5752729
JV0853	JV0798	214.1778618
JV0853	JV0797	218.9429444
JV0853	JV0796	220.6438655
JV0853	JV0793	225.2547362
JV0853	JV0792	225.9781195
JV0853	JV0791	237.4979716
JV0853	JV0788	243.2223781
JV0853	JV0789	243.6018144
JV0853	JV0787	248.7560405
JV0853	JV0786	265.6277540
JV0854	JV0853	3.0907928
JV0854	JV0854	0.0000000
JV0854	JV0852	0.9850888
JV0854	JV0851	9.5490157
JV0854	JV0855	12.3583899
JV0854	JV0624	22.4515122
JV0854	JV0622	35.9731956
JV0854	JV0619	39.0339980
JV0854	JV0620	44.4094235
JV0854	JV0621	44.7275307
JV0854	JV0618	62.7132243
JV0854	JV0617	67.3460504
JV0854	JV0616	70.6792310
JV0854	JV0615	72.3728402
JV0854	JV0614	76.8594334
JV0854	JV0613	162.4831945
JV0854	JV0612	164.7586347
JV0854	JV0611	168.5399410
JV0854	JV0610	177.9136695
JV0854	JV0609	178.8032466
JV0854	JV0608	183.4604178
JV0854	JV0607	185.4890067
JV0854	JV0604	189.8898191
JV0854	JV0606	190.0979874
JV0854	JV0605	191.1048770
JV0854	JV0603	194.1430658
JV0854	JV0602	201.6659540
JV0854	JV0601	205.7881284
JV0854	JV0800	208.2325856
JV0854	JV0799	213.9849308
JV0854	JV0798	214.5892330
JV0854	JV0797	219.4058005
JV0854	JV0796	221.0460993
JV0854	JV0793	225.6394310
JV0854	JV0792	226.3444024
JV0854	JV0791	238.0366949
JV0854	JV0788	243.8033589
JV0854	JV0789	244.1901083
JV0854	JV0787	249.3827229
JV0854	JV0786	266.4839757
JV0852	JV0853	3.9655769
JV0852	JV0854	0.9850888
JV0852	JV0852	0.0000000
JV0852	JV0851	9.5903337
JV0852	JV0855	12.2702649
JV0852	JV0624	22.5064791
JV0852	JV0622	36.3735343
JV0852	JV0619	39.4902849
JV0852	JV0620	44.8926419
JV0852	JV0621	45.2356408
JV0852	JV0618	63.2289372
JV0852	JV0617	67.8427395
JV0852	JV0616	71.1538088
JV0852	JV0615	72.8717010
JV0852	JV0614	77.3690694
JV0852	JV0613	163.0765418
JV0852	JV0612	165.3409620
JV0852	JV0611	169.1085500
JV0852	JV0610	178.5351422
JV0852	JV0609	179.4266140
JV0852	JV0608	184.0733150
JV0852	JV0607	186.1131924
JV0852	JV0604	190.5022903
JV0852	JV0606	190.7226363
JV0852	JV0605	191.7276370
JV0852	JV0603	194.7499700
JV0852	JV0602	202.2811079
JV0852	JV0601	206.4020664
JV0852	JV0800	208.8526095
JV0852	JV0799	214.6107570
JV0852	JV0798	215.2154644
JV0852	JV0797	220.0445612
JV0852	JV0796	221.6698671
JV0852	JV0793	226.2587015
JV0852	JV0792	226.9590538
JV0852	JV0791	238.6933692
JV0852	JV0788	244.4700166
JV0852	JV0789	244.8584983
JV0852	JV0787	250.0600882
JV0852	JV0786	267.2135822
JV0851	JV0853	11.4845505
JV0851	JV0854	9.5490157
JV0851	JV0852	9.5903337
JV0851	JV0851	0.0000000
JV0851	JV0855	3.0958844
JV0851	JV0624	12.9181926
JV0851	JV0622	27.5084442
JV0851	JV0619	30.8804679
JV0851	JV0620	36.3903861
JV0851	JV0621	36.8780436
JV0851	JV0618	54.8222473
JV0851	JV0617	59.3132582
JV0851	JV0616	62.4990000
JV0851	JV0615	64.3409675
JV0851	JV0614	68.8875838
JV0851	JV0613	155.0106732
JV0851	JV0612	157.2005547
JV0851	JV0611	160.8783404
JV0851	JV0610	170.6578615
JV0851	JV0609	171.5627177
JV0851	JV0608	176.1312584
JV0851	JV0607	178.2517268
JV0851	JV0604	182.5540569
JV0851	JV0606	182.8622533
JV0851	JV0605	183.8529143
JV0851	JV0603	186.7606492
JV0851	JV0602	194.3467028
JV0851	JV0601	198.4573146
JV0851	JV0800	200.9504665
JV0851	JV0799	206.7486167
JV0851	JV0798	207.3560686
JV0851	JV0797	212.2771250
JV0851	JV0796	213.7900402
JV0851	JV0793	218.3447222
JV0851	JV0792	219.0118691
JV0851	JV0791	231.0592881
JV0851	JV0788	236.9152543
JV0851	JV0789	237.3179557
JV0851	JV0787	242.5933490
JV0851	JV0786	260.2246187
JV0855	JV0853	14.4939298
JV0855	JV0854	12.3583899
JV0855	JV0852	12.2702649
JV0855	JV0851	3.0958844
JV0855	JV0855	0.0000000
JV0855	JV0624	10.4524160
JV0855	JV0622	26.1165886
JV0855	JV0619	29.6646996
JV0855	JV0620	35.2073132
JV0855	JV0621	35.7940246
JV0855	JV0618	53.6118056
JV0855	JV0617	58.0052144
JV0855	JV0616	61.0942264
JV0855	JV0615	63.0191035
JV0855	JV0614	67.5890028
JV0855	JV0613	153.8822137
JV0855	JV0612	156.0280734
JV0855	JV0611	159.6514507
JV0855	JV0610	169.6279328
JV0855	JV0609	170.5397326
JV0855	JV0608	175.0634539
JV0855	JV0607	177.2274070
JV0855	JV0604	181.4804507
JV0855	JV0606	181.8368021
JV0855	JV0605	182.8192862
JV0855	JV0603	185.6627141
JV0855	JV0602	193.2767849
JV0855	JV0601	197.3804134
JV0855	JV0800	199.8962543
JV0855	JV0799	205.7145226
JV0855	JV0798	206.3232912
JV0855	JV0797	211.2923901
JV0855	JV0796	212.7444011
JV0855	JV0793	217.2792641
JV0855	JV0792	217.9279993
JV0855	JV0791	230.1397847
JV0855	JV0788	236.0352126
JV0855	JV0789	236.4450828
JV0855	JV0787	241.7566762
JV0855	JV0786	259.6160629
JV0624	JV0853	24.1182296
JV0624	JV0854	22.4515122
JV0624	JV0852	22.5064791
JV0624	JV0851	12.9181926
JV0624	JV0855	10.4524160
JV0624	JV0624	0.0000000
JV0624	JV0622	17.1282340
JV0624	JV0619	20.9601574
JV0624	JV0620	26.4118780
JV0624	JV0621	27.2164950
JV0624	JV0618	44.4955874
JV0624	JV0617	48.6705917
JV0624	JV0616	51.5706283
JV0624	JV0615	53.6321172
JV0624	JV0614	58.2230444
JV0624	JV0613	144.6546830
JV0624	JV0612	146.7221473
JV0624	JV0611	150.2508186
JV0624	JV0610	160.5651376
JV0624	JV0609	161.4890244
JV0624	JV0608	165.9277774
JV0624	JV0607	168.1693301
JV0624	JV0604	172.3301047
JV0624	JV0606	172.7734887
JV0624	JV0605	173.7403638
JV0624	JV0603	176.4665464
JV0624	JV0602	184.1260009
JV0624	JV0601	188.2149500
JV0624	JV0800	190.7700021
JV0624	JV0799	196.6215375
JV0624	JV0798	197.2323820
JV0624	JV0797	202.2869756
JV0624	JV0796	203.6271465
JV0624	JV0793	208.1245262
JV0624	JV0792	208.7404122
JV0624	JV0791	221.2476859
JV0624	JV0788	227.2160192
JV0624	JV0789	227.6395629
JV0624	JV0787	233.0193814
JV0624	JV0786	251.3389403
JV0622	JV0853	36.5344030
JV0622	JV0854	35.9731956
JV0622	JV0852	36.3735343
JV0622	JV0851	27.5084442
JV0622	JV0855	26.1165886
JV0622	JV0624	17.1282340
JV0622	JV0622	0.0000000
JV0622	JV0619	3.8977173
JV0622	JV0620	9.2843147
JV0622	JV0621	10.1169363
JV0622	JV0618	27.5334142
JV0622	JV0617	31.8887080
JV0622	JV0616	35.0047782
JV0622	JV0615	36.9030785
JV0622	JV0614	41.4724885
JV0622	JV0613	127.8053555
JV0622	JV0612	129.9304402
JV0622	JV0611	133.5385761
JV0622	JV0610	143.6187822
JV0622	JV0609	144.5365705
JV0622	JV0608	149.0223691
JV0622	JV0607	151.2214403
JV0622	JV0604	155.4340741
JV0622	JV0606	155.8288151
JV0622	JV0605	156.8040025
JV0622	JV0603	159.5994837
JV0622	JV0602	167.2313158
JV0622	JV0601	171.3295147
JV0622	JV0800	173.8614635
JV0622	JV0799	179.6948664
JV0622	JV0798	180.3046336
JV0622	JV0797	185.3165673
JV0622	JV0796	186.7144836
JV0622	JV0793	191.2340440
JV0622	JV0792	191.8702418
JV0622	JV0791	204.2310047
JV0622	JV0788	210.1741816
JV0622	JV0789	210.5933793
JV0622	JV0787	215.9535971
JV0622	JV0786	234.2110290
JV0619	JV0853	39.3896687
JV0619	JV0854	39.0339980
JV0619	JV0852	39.4902849
JV0619	JV0851	30.8804679
JV0619	JV0855	29.6646996
JV0619	JV0624	20.9601574
JV0619	JV0622	3.8977173
JV0619	JV0619	0.0000000
JV0619	JV0620	5.5443034
JV0619	JV0621	6.2565965
JV0619	JV0618	23.9593760
JV0619	JV0617	28.4359157
JV0619	JV0616	31.6749633
JV0619	JV0615	33.4654120
JV0619	JV0614	38.0074006
JV0619	JV0613	124.2186045
JV0619	JV0612	126.3732349
JV0619	JV0611	130.0197235
JV0619	JV0610	139.9749192
JV0619	JV0609	140.8889449
JV0619	JV0608	145.4014075
JV0619	JV0607	147.5757467
JV0619	JV0604	151.8174865
JV0619	JV0606	152.1845097
JV0619	JV0605	153.1644534
JV0619	JV0603	155.9980442
JV0619	JV0602	163.6140837
JV0619	JV0601	167.7168626
JV0619	JV0800	170.2359283
JV0619	JV0799	176.0586448
JV0619	JV0798	176.6677495
JV0619	JV0797	181.6543093
JV0619	JV0796	183.0855106
JV0619	JV0793	187.6167930
JV0619	JV0792	188.2637312
JV0619	JV0791	200.5382141
JV0619	JV0788	206.4635755
JV0619	JV0789	206.8795640
