tree	JV0853	JV0854	JV0852	JV0851	JV0855	JV0624	JV0622	JV0619	JV0620	JV0621	JV0618	JV0617	JV0616	JV0615	JV0614	JV0613	JV0612	JV0611	JV0610	JV0609	JV0608	JV0607	JV0604	JV0606	JV0605	JV0603	JV0602	JV0601	JV0800	JV0799	JV0798	JV0797	JV0796	JV0793	JV0792	JV0791	JV0788	JV0789	JV0787	JV0786
JV0853	8.09901e-12	0.0549414826520472	0.525013493352445	0.0805857641342467	0.0160731311285782	0.0406145653461847	0.0020320228988766	0.00286096289960878	0.000566863587262581	0.00142350549532692	0.00137591907935149	0.000195741913725129	0.00021529090933733	0.000224221985541772	0.000368507073998859	0.000992803622481548	7.90289097465542e-05	0.000317325979078224	0.000483300781512082	0.000407416962610288	0.000490121271906628	0.000440831634062214	0.000344392954752306	0.000224684346821097	0.000224976285131606	0.000261413594882721	9.91130423766394e-05	5.11046060235392e-05	4.84397012288129e-05	5.88206352309685e-06	4.25281536169084e-06	4.99677712267907e-05	2.36295370157248e-05	1.87473791475485e-05	4.03318904576165e-05	4.43527029026452e-05	6.95365133949881e-07	5.95513508735279e-06	6.08194960225332e-05	0.000228193481099981
JV0854	0.0095838823121691	8.09901e-12	0.105421441526402	0.00218404150939444	0.000418415958303524	0.00088965203330312	3.92928892549268e-05	5.44906551903455e-05	1.0703864045114e-05	2.67426497263959e-05	2.57240100308215e-05	3.66774599038028e-06	4.04440717752564e-06	4.1978063203999e-06	6.88685854556409e-06	1.84075616931334e-05	1.46647393190893e-06	5.8942085434512e-06	8.94700043862882e-06	7.54144952419388e-06	9.0797302343165e-06	8.16105433671823e-06	6.38118289407237e-06	4.1599393244439e-06	4.16595247020191e-06	4.84580048802483e-06	1.83661845214965e-06	9.47145733741774e-07	8.97480945100546e-07	1.0895853504393e-07	7.87777699842611e-08	9.25025732753206e-07	4.37826103112443e-07	3.47482790288511e-07	7.47749102267184e-07	8.20629054646588e-07	1.2860816359772e-08	1.10137576288915e-07	1.12437986266392e-06	4.20908886561932e-06
JV0852	0.798120787738404	0.918726007611385	8.09901e-12	0.267243893047545	0.0522941057321994	0.109206652474897	0.00473418704346473	0.0065559239743348	0.00128959871680054	0.00321851179508521	0.00311505534135128	0.000444949672184788	0.000491353470016741	0.000509755634894925	0.000836721153861728	0.00225056106430058	0.000179347518856612	0.000721139013497874	0.0010942343911921	0.000922344610766536	0.0011108794443251	0.000998406487961918	0.000780932084670361	0.000509012729570859	0.000509782718591556	0.000593175604935225	0.000224858380759234	0.000115978365889763	0.000109897415848105	1.33436533534055e-05	9.64769412753132e-06	0.000113285186684493	5.36319386745915e-05	4.25734471215801e-05	9.16208949055318e-05	0.00010053459930984	1.57564068208322e-06	1.34934350749872e-05	0.000137757438740506	0.000515631063317335
JV0851	0.0896864648869726	0.0139344030730694	0.195649260248878	8.09901e-12	0.640021585820449	0.327438176290893	0.00820495508858882	0.0105816524215671	0.00192953821182108	0.00475199870271925	0.0040302042408337	0.000565615466781159	0.000618602008144332	0.000633850467933326	0.00102056267675606	0.00234623782263337	0.000186899314718399	0.000750564178531972	0.00112411318382888	0.000946755110518482	0.00113843606696338	0.00102048886546904	0.000797271559087672	0.000518841559107372	0.000519448046977401	0.000604512081219009	0.000228018631471157	0.000117378715077523	0.000111016514204962	1.34345387143985e-05	9.71030042704166e-06	0.000113620698198731	5.38402096257142e-05	4.26756220518274e-05	9.18568815571621e-05	9.98970943600058e-05	1.56077790311969e-06	1.33649548241421e-05	0.000136044751208704	0.000503605385756043
JV0855	0.00117395538714535	0.000175193604658082	0.00251249779183092	0.0420026942665098	8.09901e-12	0.0107762264700596	0.000196771236697509	0.000247366499599417	4.44397701493277e-05	0.000108621006692642	9.07454020972827e-05	1.27423502446129e-05	1.39571866751144e-05	1.42317482721833e-05	2.28228243332346e-05	5.09999408034076e-05	4.06490752865201e-06	1.63333370436989e-05	2.43513266459144e-05	2.05051292261171e-05	2.46654884210954e-05	2.20898250457289e-05	1.72658910347644e-05	1.12270045966843e-05	1.1240744709855e-05	1.30920656990251e-05	4.93315395480267e-06	2.53898592686143e-06	2.40012134075418e-06	2.90249691295828e-07	2.09776344373943e-07	2.45216090540241e-06	1.16288960380418e-06	9.21753844390893e-07	1.98445641423535e-06	2.15194362039815e-06	3.3595488854833e-08	2.87668805228656e-07	2.92603370968834e-06	1.07949812353591e-05
JV0624	0.0712223057790066	0.00894361917761618	0.125975229265206	0.515934957618254	0.25873180857369	8.09901e-12	0.0935574792989151	0.101334478310604	0.0161672772895529	0.0383643911683985	0.0268042585941347	0.00368086459998145	0.00398382498417615	0.00398632152438775	0.00622193436749688	0.0113181811153262	0.000901512563633743	0.00361590146920103	0.0053081806364055	0.00446536332615733	0.00535962753598867	0.00478520181394015	0.00373404357328975	0.0024237692965459	0.00242562309867401	0.00282486438040436	0.00105802054598482	0.00054320972970739	0.000512366944337404	6.17116849324354e-05	4.45844632027116e-05	0.000519026811568855	0.000246350769556065	0.000194895215307019	0.000419648143099611	0.000450425624804962	7.00628041155664e-06	5.99868172862563e-05	0.000608068609298354	0.00221522583131702
JV0622	0.00490785422952313	0.000544046379645065	0.00752160136538772	0.0178061770719197	0.0065068915317996	0.12885680231058	8.09901e-12	0.527852381782456	0.0276538969023915	0.0591722096731915	0.0153188577166109	0.00186506735408589	0.00187047759221327	0.00182052608337341	0.00263860401207515	0.00293197226911155	0.000232170365786014	0.000922653283374653	0.00133382824935443	0.0011202792031127	0.00133282891811697	0.00118640808007182	0.000918572863893332	0.000596365983136513	0.000595812411665632	0.00069006168285372	0.000255695582064703	0.000130521251857821	0.000122741103420695	1.46778985026015e-05	1.05964327711457e-05	0.000122694146284089	5.80906428334724e-05	4.5707720077363e-05	9.83196769777256e-05	0.000104393928846963	1.61507888391484e-06	1.38270727299745e-05	0.000139471927282436	0.000500794421533377
JV0619	0.0103149425929094	0.00112625186256395	0.015548565973662	0.0342798966282819	0.0122108070159363	0.208342372561059	0.787959720455352	8.09901e-12	0.188524578242072	0.381959321511175	0.0530783126148475	0.0061451940839585	0.0059744539904479	0.00579472493900317	0.00821822668993318	0.00800972113981452	0.000633100518961159	0.00250914748160817	0.00361957251113415	0.00303905083355494	0.00360670007537389	0.00320912014272426	0.00247909053974403	0.00161010975214545	0.0016078658951632	0.00185892656716722	0.000687163831305046	0.000350266029950686	0.00032919680626718	3.9304104797982e-05	2.83700805096681e-05	0.000328157681237724	0.000155224542671075	0.00012196531185615	0.000262265484125483	0.000277989897933367	4.29604314734583e-06	3.6779189041128e-05	0.000370619277222772	0.00132738555861461
JV0620	0.000544586931272692	5.89505880560531e-05	0.000814976506629058	0.00166561053947176	0.000584533428908243	0.00885709538309229	0.0109997277542236	0.0502344952588431	8.09901e-12	0.378147863440588	0.00683157631788442	0.000719160370178757	0.000662109251517219	0.000631857426374951	0.000855847288573788	0.000653486120193163	5.15460426808872e-05	0.000203606096544241	0.000291546880950077	0.000244624398593813	0.000289397986988256	0.000257123128107682	0.000198087417892465	0.000128625001868087	0.000128367890235605	0.000148152230009181	5.45300500324759e-05	2.77348301342796e-05	2.60332840973093e-05	3.09940226435509e-06	2.23653603880433e-06	2.5810677044361e-05	1.22013797891679e-05	9.56835473314448e-06	2.05692978836111e-05	2.16964876938489e-05	3.34562259749244e-07	2.86413791945006e-06	2.8803586970237e-05	0.000102510965617947
JV0621	0.0025817920353226	0.000278051631526936	0.00383989241423775	0.00774408024213198	0.00269727251419798	0.0396785871194552	0.0444341461115382	0.192143028918919	0.713896257502196	8.09901e-12	0.0345576330304383	0.00356842172628777	0.00324662493289511	0.0031209744945652	0.00422454058121124	0.00317748532610652	0.000250440335479293	0.000988238707485314	0.0014173398271821	0.00118923079586129	0.00140570152300811	0.00124931323982891	0.000961678972742738	0.000624746612617531	0.000623402753303062	0.000718876455559913	0.00026454665270034	0.000134512122055968	0.000126268661734159	1.5030946457342e-05	1.08461439144744e-05	0.000125188298390771	5.91452767899263e-05	4.63643881945512e-05	9.96524433937385e-05	0.000105190615860487	1.62208094134898e-06	1.38865574130689e-05	0.000139656899043344	0.000497350124782573
