tree	4S0238	4S0239	4S0237	4S0236	4S0235	4S0234	4S0233	4S0232	4S0231	4S0230	4S0229	4S0228	4S0227	4S0225	4S0226	4S0224	4S0223	4S0222	4S0221	4S0220	4S0219	4S0218	4S0217	4S0216	4S0215	4S0214	4S0213	4S0211	4S0210	4S0882	4S0883	4S0884	4S0207	4S0203	4S0202	4S0206	4S0206bis	4S0208	4S0204	4S0205	4S0201	4S0200	4S0199	4S0198	4S0196	4S0881	4S0195	4S0194	4S0197	4S0193	4S0192	4S0191	4S0190	4S0188	4S0187	4S0186	4S0184	4S0189	4S0182	4S0185	4S0183	4S0181	4S0180	4S0178	4S0179	4S0879	4S0880	4S0176	4S0175	4S0169	4S0168	4S0167	4S0170	4S0166	4S0165	4S0164	4S0878	4S0163	4S0162	4S0160	4S0159	4S0161	4S0877	4S0171	4S0172	4S0173	4S0174	4S0158
4S0238	0.00921509	0.466022226893704	0.0462806786849586	0.00257244905979136	0.00909095643131219	0.00152147753437086	0.00210621717412342	0.00430048723478989	0.00615694849115974	0.00347443606828613	0.00171108093821431	0.001406961643871	0.00197470196423189	0.000239104680667337	0.000446149788228495	0.000526387539311256	0.000595142603480087	0.00047250417297349	0.00035541813584986	0.000434208590790636	0.000441449599064538	0.000217862362832751	0.000649827215394876	0.000934671530005866	0.000817685438678406	0.00191320148861705	0.00101353030480885	0.00127212571235163	0.000506535374738465	0.000203128366241884	0.000170651675227502	0.000285629934117079	0.00020696925860647	0.000167152894187337	0.000163044939184182	1.31934734643166e-06	1.31142643757798e-06	0.000143901063045805	0.000112322553348771	0.000186202607532144	0.000215871133474594	0.000128782506346275	6.21244166760579e-05	0.000308245077641678	0.000323118658391563	0.000341769800999152	0.000245080728888755	0.000459660735889636	0.000684666923617553	0.000441478727604035	0.000608370042954219	0.000624335561910668	0.000407253616413004	0.000372460058656195	0.000365562199991185	0.000319256173346764	0.000369606524143825	0.000417862083742765	0.000936249370134652	0.00037055366620083	0.000681396458921294	0.0003977770927712	0.000225600760692977	0.000116454335890797	0.000122663664165229	0.000368739726961888	0.000456516796964793	0.000362318820346383	0.000361481229533918	0.000200020196335408	2.84480133843073e-06	4.92705121916138e-05	0.000372042488990369	8.16475308823461e-05	6.04136559027305e-05	7.85694724432334e-05	5.11072100332251e-05	0.000174799668217018	0.000114264662066446	9.0077056171304e-05	7.1482213894743e-05	6.89645097677562e-05	7.46209749630035e-05	0.000459035083029063	0.000245933297522101	0.000174364006301995	0.000175025172087204	0.000564121264862092
4S0239	0.465874399561683	0.00921509	0.028212552563541	0.00200129323441113	0.00735327135955627	0.00126544052043466	0.00177143045113584	0.00371149479507557	0.00571985050166398	0.00327268961723905	0.00186244663467653	0.0015252013817789	0.00213316881323937	0.000263322991124049	0.000489748875126273	0.000584727121327062	0.000656698846394001	0.000525459029035588	0.000393763588387888	0.000480086784162718	0.000486966008226848	0.000239434471905445	0.00070665970237792	0.00101150108893595	0.000877765227812379	0.00202288259881794	0.00105636416133703	0.00131639612655	0.000516643902320818	0.00020662443587033	0.00017308489154446	0.000289780158477966	0.000208066428664222	0.000170594555432214	0.00016636302681924	1.33161365837339e-06	1.32361910679089e-06	0.000145185661381324	0.000113422778840729	0.000189125485560834	0.00021880379256041	0.000130027287133399	6.26948938517921e-05	0.000308837361335765	0.00032278048105688	0.000339289852448831	0.000242292773029779	0.000452850292392021	0.000672280157862875	0.00043061018963114	0.000591801184294004	0.000600880468507179	0.000389752705795341	0.000354763502421952	0.000347014926243181	0.000303018652746551	0.000347462090685453	0.000395062737816764	0.000858959521354416	0.000348164829592537	0.000623130019837545	0.000362377828455178	0.000204108406717518	0.000105203184259937	0.000110725971568771	0.000337690638617787	0.000417693001206503	0.00033049268406313	0.000327997833022519	0.000177218396734497	2.50500075502111e-06	4.33879849138135e-05	0.000325319641673493	7.16776455679759e-05	5.29170543805926e-05	6.88358714511793e-05	4.47215927928909e-05	0.00015259991427841	9.93350777247156e-05	7.80330266273114e-05	6.19328077650395e-05	5.97730073050076e-05	6.46193051875157e-05	0.000396416667495003	0.000211793808986642	0.000150148260830476	0.000150874813841705	0.000481024471127889
4S0237	0.00829648011352314	0.00505911234321699	0.00921509	0.00305342829251039	0.00840259394470043	0.00120832154653343	0.00159013363571734	0.00283223078538925	0.00261744684221868	0.00140830411817371	0.000368963536366141	0.000307877077059589	0.000413935027933388	4.45704810708333e-05	8.3869805866362e-05	9.41494262776318e-05	0.000107417022326538	7.99560912856024e-05	6.05298133879193e-05	7.34045740048369e-05	7.39218756633253e-05	3.67537548932245e-05	0.000110301980262578	0.000157294199480158	0.000139396414858286	0.000302002276728742	0.000160379712083448	0.000203525813209808	7.98004544732703e-05	3.14230588739233e-05	2.65561774156527e-05	4.3936815369929e-05	3.21570317315988e-05	2.45801072237665e-05	2.39190280503048e-05	1.99336884099352e-07	1.98140133831579e-07	2.16739881647534e-05	1.66880245148215e-05	2.72375122594582e-05	3.09563061677344e-05	1.84370585950877e-05	8.91124304494505e-06	4.36707907070688e-05	4.65809528502221e-05	4.92895825044456e-05	3.65201142679635e-05	6.83855145246442e-05	9.68536003242735e-05	6.52423511511717e-05	8.93461820259206e-05	8.47077193129475e-05	5.57040030085976e-05	5.12887679745632e-05	5.12217569189653e-05	4.52213743527467e-05	5.34537279387266e-05	5.83553037835844e-05	0.000154304444717734	5.34839368083411e-05	0.000116032012250214	7.08341945235548e-05	4.0648715069204e-05	2.11659098623943e-05	2.23422963643831e-05	6.62784498129813e-05	8.4211264982548e-05	6.86487254061694e-05	6.88406289191966e-05	4.05503275611244e-05	5.87056336481469e-07	1.01699022691796e-05	7.39125822190305e-05	1.71948681749231e-05	1.27323208406209e-05	1.67177261091272e-05	1.08718588959174e-05	3.71301334140882e-05	2.41489680387994e-05	1.94413832383518e-05	1.55025335728004e-05	1.50310895050757e-05	1.62932415293046e-05	9.20871717101702e-05	5.09633427284594e-05	3.67061366877534e-05	3.71448490278944e-05	0.000121564247793092
4S0236	0.00743922565294998	0.00578934539797697	0.0492577439270328	0.00921509	0.328732124521041	0.0223973719571594	0.0229803009474988	0.027587905529042	0.0158006913705111	0.00750975681006425	0.00111250751911286	0.000901893865726004	0.0010057820450893	9.82176374956238e-05	0.000184240023888409	0.000203047305980045	0.000227674475697183	0.000160783069971938	0.000120941345838824	0.000144326960400301	0.000142633524308234	7.05835610356823e-05	0.000205734635491141	0.000286441762122425	0.0002504733745929	0.000488995431602537	0.000250940053179498	0.000315072931023681	0.000118241040284374	4.58083477596273e-05	3.85826517265445e-05	6.34798587630052e-05	4.57597937045835e-05	3.51412243455442e-05	3.41374036475923e-05	2.82128588853395e-07	2.80434785592738e-07	3.06040114969085e-05	2.34479000426738e-05	3.84457401353695e-05	4.30879274820045e-05	2.54420708968889e-05	1.22962730964066e-05	5.9063772836055e-05	6.31145842521519e-05	6.59693245580857e-05	4.91609478608951e-05	9.1335780522717e-05	0.000125870736026379	8.5153207548444e-05	0.000115703183801626	0.000104461347908331	6.81831579872874e-05	6.23770823523327e-05	6.22571612646329e-05	5.5143122804035e-05	6.44465526125127e-05	7.0330339140273e-05	0.0001845117094189	6.43775352457552e-05	0.000139183066410724	8.54372832454388e-05	4.84413435003281e-05	2.52042795590459e-05	2.65746851582383e-05	8.11507620076968e-05	0.000103785030275831	8.47552601849585e-05	8.40599974312408e-05	4.76164155543746e-05	6.82247577072142e-07	1.18215409784723e-05	8.35839625765383e-05	1.99434280562901e-05	1.46858668097852e-05	1.93449173346941e-05	1.25405423984046e-05	4.2555505087991e-05	2.73481725451903e-05	2.19380114635511e-05	1.75207661814423e-05	1.70253661183764e-05	1.84219340657241e-05	0.00010131714630787	5.61103489269975e-05	4.0553159658382e-05	4.12229693232329e-05	0.000131743489316493
4S0235	0.070345105759071	0.0569170900840012	0.362696637896051	0.879600582356951	0.00921509	0.799120196477736	0.616322827253334	0.551826629003943	0.245149311070408	0.11191662222035	0.0137485442877647	0.0111098977792636	0.011935256840812	0.00113992146001251	0.00213749725778214	0.00234450695788389	0.00262100065702921	0.00183024846125521	0.00137530764962331	0.00163616538926846	0.00161111145436313	0.000796706572337418	0.00231011710097949	0.00320187912122631	0.00279355793825287	0.00534770389691741	0.00272804642303252	0.00341934725953226	0.00127336533942012	0.00049186389626942	0.000414065899519263	0.000680538226713257	0.000489362148993359	0.000375884250401236	0.000365032262777113	3.01354322994508e-06	2.99545095021634e-06	0.000326756243747138	0.000250109282172305	0.000410328836694601	0.000458705490732613	0.000270459874598125	0.000130716044503323	0.000625725159890837	0.000668964267880108	0.00069781553044799	0.000520681267828068	0.000966105156662515	0.00132480714214131	0.000897260091132215	0.00121753921839138	0.00108976964627446	0.000710519278244217	0.000649396200079013	0.000648194110727314	0.000574482550076696	0.000670323557047432	0.000731242334210957	0.00191856818983299	0.000669419622695464	0.00144825053236904	0.000890002183852465	0.00050367162619928	0.000262041198507194	0.000276241087436537	0.000847426342661711	0.00108505744177941	0.000886449112340845	0.000877629290366487	0.000494125402067585	7.06845294445758e-06	0.000122481819581202	0.000862204409227837	0.000206565729907821	0.000151977429082821	0.000200295186098794	0.00012977862205834	0.000439951595060784	0.000282203027751477	0.000226253596100175	0.000180741787833607	0.000175691989212251	0.00019005079467872	0.00104070771468313	0.000576452664548372	0.000416857261216234	0.000424041631327379	0.00135025492365634
4S0234	0.00175768720933687	0.00146236427845835	0.00778689664938418	0.00894730335074222	0.119306428394389	0.00921509	0.0783107947252406	0.0334236287596939	0.00958670305198838	0.0042586558336694	0.000431230161672726	0.000348930756838695	0.000365880553523898	3.42519547975062e-05	6.4229777408751e-05	7.00932921249355e-05	7.82225761243595e-05	5.40828318872014e-05	4.06181000307338e-05	4.82055573630106e-05	4.73315327502996e-05	2.33983941122901e-05	6.75966380011561e-05	9.33580722817152e-05	8.13390706476984e-05	0.000153164761173713	7.77817335860306e-05	9.73795591781925e-05	3.60383392482233e-05	1.38846199565166e-05	1.16848356574406e-05	1.91854080627083e-05	1.37712635049468e-05	1.05711369574402e-05	1.0263077844239e-05	8.46920476798183e-08	8.4183585679938e-08	9.17963122915075e-06	7.01969991426438e-06	1.15192725551767e-05	1.2848244201366e-05	7.56682939626686e-06	3.6572584900578e-06	1.74571124062169e-05	1.86749206215802e-05	1.94497529619148e-05	1.45334467166967e-05	2.69379518848805e-05	3.67717193615238e-05	2.49406216234583e-05	3.38049158860359e-05	3.00224562908469e-05	1.95591872770749e-05	1.78645586015844e-05	1.78361266167057e-05	1.58176143121974e-05	1.84373107166812e-05	2.00986658746921e-05	5.28360838111697e-05	1.84079582335706e-05	3.99210293036861e-05	2.45674896375322e-05	1.38840045496711e-05	7.22352699905132e-06	7.61407551355212e-06	2.34412983187846e-05	3.00520163254598e-05	2.45665808885589e-05	2.42886545438644e-05	1.36165783717647e-05	1.9456490598227e-07	3.37151663211306e-06	2.36386007843954e-05	5.68578031419869e-06	4.18025269925615e-06	5.51216317773872e-06	3.57005744046769e-06	1.20923307198203e-05	7.7441267231721e-06	6.2073605825453e-06	4.95998117012622e-06	4.82302369174324e-06	5.2160937039984e-06	2.84363137113901e-05	1.57584349532168e-05	1.1402642498515e-05	1.16068631094514e-05	3.68540363400155e-05
4S0233	0.00107075643200694	0.000900843673642727	0.00450948564638257	0.00403982270079186	0.0404922104208707	0.03446141654455	0.00921509	0.0388592708607916	0.00716878994336856	0.00319971535442061	0.000292805435940055	0.000237898876190868	0.000248497295408078	2.30265376667135e-05	4.31946202635704e-05	4.69838714467905e-05	5.24262087607536e-05	3.60656004243549e-05	2.70876058889557e-05	3.21164067721254e-05	3.14966408261544e-05	1.55718702855241e-05	4.49358808616836e-05	6.19688335943479e-05	5.39778376119318e-05	0.000100840970660323	5.11170099027417e-05	6.39761948554863e-05	2.36080137409194e-05	9.08311300788122e-06	7.64361669720028e-06	1.25427079830778e-05	8.99729044281076e-06	6.89968335190667e-06	6.69760192856256e-06	5.52804116883621e-08	5.49485270610411e-08	5.9905254691878e-06	4.57828149167404e-06	7.51221961771763e-06	8.36857346151893e-06	4.92601529735795e-06	2.38097404115852e-06	1.13491782690076e-05	1.21466946612873e-05	1.26419331028703e-05	9.45608313741783e-06	1.75184160526793e-05	2.38511872947491e-05	1.61955713375995e-05	2.19389720767272e-05	1.93992443408647e-05	1.26348991193566e-05	1.15374232044815e-05	1.15224224622732e-05	1.02224411974981e-05	1.19122045247396e-05	1.29769004481807e-05	3.42005767417544e-05	1.18916623973663e-05	2.5860471706933e-05	1.59323726894532e-05	8.99898104286273e-06	4.68242330935633e-06	4.93540660776452e-06	1.52187841116671e-05	1.95274970842256e-05	1.59722676481249e-05	1.57818247639038e-05	8.83436868348239e-06	1.26183491380727e-07	2.18660854194784e-06	1.5294872880642e-05	3.68814633164014e-06	2.71062691081164e-06	3.57554815220623e-06	2.31528836629056e-06	7.8388146190488e-06	5.0158512450877e-06	4.02081571426691e-06	3.21337898621371e-06	3.12532263081475e-06	3.37972979708321e-06	1.83698196710209e-05	1.0185305516352e-05	7.37332359627921e-06	7.50843628966582e-06	2.38098078701705e-05
4S0232	0.00848762810434508	0.0073274914428775	0.0311819421097846	0.0188280984560146	0.140749552522849	0.0571013307870589	0.150860583978701	0.00921509	0.0923621448920434	0.0420154119680139	0.00296023719504744	0.00241980596512384	0.00247333401480826	0.00022369063613547	0.00041971394186775	0.000453595857592772	0.000505304912310475	0.000343566928622235	0.000257920747523373	0.000304976286456786	0.000298126941126428	0.000147355025083913	0.000423528830337513	0.000581723992338147	0.000505963876743704	0.000927667343587873	0.000467881039531279	0.000584845957469959	0.00021431288728914	8.22175807043397e-05	6.91643513592434e-05	0.000113366730487386	8.11622908203418e-05	6.21912640273215e-05	6.0350965328698e-05	4.97918862529279e-07	4.94929528494318e-07	5.39348561265451e-05	4.11759437798141e-05	6.75791254129606e-05	7.50933014340229e-05	4.41466718271216e-05	2.13390690262071e-05	0.000101396328614452	0.00010859736358103	0.000112830966389757	8.45327673526758e-05	0.000156425383989342	0.000211902816498574	0.000144120749703979	0.000194987448166665	0.000170948388287416	0.000111247826387453	0.000101511454279765	0.000101409325601818	9.00290620355845e-05	0.000104793994555213	0.000114070834271721	0.00030127197827967	0.000104585567804073	0.000228030066295173	0.000140696610507007	7.93472372160651e-05	4.12873986930198e-05	4.35123939756949e-05	0.00013470204652526	0.00017306888547244	0.000141650134781774	0.000139748204935263	7.7852129480537e-05	1.1105642733042e-06	1.9245389382408e-05	0.000134043575323685	3.24576839224618e-05	2.38364965338265e-05	3.14595515696563e-05	2.03619689791601e-05	6.88759411970831e-05	4.39960204705072e-05	3.52573936120516e-05	2.81845649703182e-05	2.74218292894185e-05	2.96470654836028e-05	0.000160401481280365	8.89745994414126e-05	6.44508051269762e-05	6.56775506683121e-05	0.000207620490462326
4S0231	0.0156823291649745	0.0145736222254791	0.0371902208877132	0.0139168256492115	0.080695889207893	0.0211367529814344	0.0359172731794077	0.119198386158146	0.00921509	0.518016798060997	0.0102054599790563	0.00789501374570199	0.00635356605050906	0.000545605757820016	0.0010176222588534	0.00110020100024894	0.00120324002876105	0.000798860975114981	0.000595616310366091	0.000697131379569204	0.000673835034757155	0.000331269154467189	0.000931699118020393	0.00126279515465633	0.00108577956668232	0.00191215067387152	0.00094817076629197	0.00117696367573392	0.000424414272137361	0.000162255940634246	0.000136171860218774	0.000223141969031687	0.000158544438543166	0.000122803719720211	0.000119133626724677	9.7508867357853e-07	9.69234575695542e-07	0.00010558000089602	8.06270468514223e-05	0.000132883991219108	0.00014731494924039	8.6344546002121e-05	4.17231902752902e-05	0.000197154572368555	0.000210763107856404	0.000218012684039765	0.000162881072156543	0.000300659229129651	0.000406431885936003	0.000275136652391501	0.000371619291496307	0.000324152389431982	0.000210258407779389	0.000191329261397414	0.000190692745416533	0.000169225916643302	0.00019581692192861	0.000214058799746058	0.00055201015455987	0.000195385392015387	0.000416217114999738	0.000255484641812344	0.000143405082607443	7.45086772962362e-05	7.84773012212704e-05	0.000245181041645958	0.000314269547995637	0.000256235547788355	0.000251903428743961	0.000137710415645322	1.95467624170796e-06	3.38735903717233e-05	0.000235996825967957	5.6920122643499e-05	4.17502158159905e-05	5.50530548042013e-05	3.56117200489607e-05	0.000120336422527804	7.6751398682579e-05	6.1262711914919e-05	4.89500494536021e-05	4.7607171031934e-05	5.14385896200145e-05	0.000280485870352017	0.000154862128419835	0.000111983583557066	0.000114068380159343	0.000358243581185226
4S0230	0.00325565774221114	0.00306758793611139	0.00736133715943111	0.00243332065336243	0.0135526649356107	0.00345422730668731	0.00589763948081346	0.019947770575095	0.190569421611221	0.00921509	0.00272157628156198	0.00214596673853652	0.00168159878710455	0.000139820207565645	0.000260902342365228	0.000279690451699381	0.000305410632023465	0.000199944284069988	0.000149027046498793	0.000173910654554708	0.00016750985352081	8.23410481072875e-05	0.000230661915928297	0.0003113138971832	0.000267322427378106	0.000461750168488428	0.00022789094833258	0.000282584056111316	0.00010122511742229	3.85886621907228e-05	3.23774039878474e-05	5.29950501521109e-05	3.7590864282077e-05	2.90775782162497e-05	2.81998741143789e-05	2.30807469076869e-07	2.29421780213166e-07	2.49808917270651e-05	1.90556259269226e-05	3.14069985013365e-05	3.47313908797606e-05	2.03337451265672e-05	9.82622474446061e-06	4.62967904845988e-05	4.95330876372325e-05	5.11597589210392e-05	3.82907085832692e-05	7.060689377715e-05	9.49731850992681e-05	6.44150078488639e-05	8.6903130214297e-05	7.5179044151975e-05	4.873403299684e-05	4.43225462950922e-05	4.41946151686455e-05	3.92468545760177e-05	4.53803416519495e-05	4.95562698883523e-05	0.0001282349084498	4.52691062838548e-05	9.67995634031271e-05	5.95166068059409e-05	3.33657614436694e-05	1.73372308516222e-05	1.82589102541473e-05	5.72340868506054e-05	7.34616190833854e-05	5.99411436193287e-05	5.88515364599568e-05	3.20523387856928e-05	4.54507654130919e-07	7.87663521461723e-06	5.46615555577977e-05	1.32361404331159e-05	9.70213268779715e-06	1.28002823735562e-05	8.27680951217693e-06	2.79461767570896e-05	1.77974319903113e-05	1.42040400501716e-05	1.13521620325114e-05	1.10443728467218e-05	1.19309674668058e-05	6.47670251073597e-05	3.57804222065743e-05	2.58900260136825e-05	2.63890467335576e-05	8.26668873405431e-05
